Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Away,BALL LOST,INTERCEPTION,1,2370,94.8,2417,96.68,Player19,,0.53,1,0.65,0.79
Home,RECOVERY,INTERCEPTION,1,2414,96.56,2414,96.56,Player3,,0.66,0.86,NaN,NaN
Home,PASS,,1,2414,96.56,2440,97.6,Player3,Player8,0.66,0.86,0.51,0.94
Home,PASS,,1,2465,98.6,2493,99.72,Player8,Player4,0.52,0.94,0.6,0.97
Home,PASS,,1,2511,100.44,2546,101.84,Player4,Player3,0.61,0.97,0.76,0.87
Home,PASS,,1,2603,104.12,2708,108.32,Player3,Player1,0.78,0.8,0.53,0.06
Home,PASS,,1,2708,108.32,2734,109.36,Player1,Player5,0.53,0.06,0.6,0.13
Home,PASS,,1,2789,111.56,2811,112.44,Player5,Player6,0.56,0.06,0.55,0.28
Home,PASS,,1,2906,116.24,2923,116.92,Player6,Player10,0.48,0.37,0.33,0.41
Home,PASS,,1,2923,116.92,2968,118.72,Player10,Player1,0.33,0.41,0.36,0.06
Home,BALL LOST,INTERCEPTION,1,2997,119.88,3037,121.48,Player1,,0.34,0.04,0.19,0.29
Away,RECOVERY,INTERCEPTION,1,3035,121.4,3035,121.4,Player17,,0.2,0.33,NaN,NaN
Away,PASS,,1,3069,122.76,3131,125.24,Player17,Player18,0.16,0.28,0.18,0.04
Away,BALL LOST,,1,3131,125.24,3217,128.68,Player18,,0.18,0.04,0.55,0.31
Home,RECOVERY,,1,3215,128.6,3215,128.6,Player3,,0.54,0.32,NaN,NaN
Home,PASS,,1,3248,129.92,3311,132.44,Player3,Player11,0.58,0.27,0.86,0.45
Home,PASS,,1,3344,133.76,3392,135.68,Player11,Player2,0.86,0.45,0.72,0.12
Home,PASS,,1,3427,137.08,3455,138.2,Player2,Player5,0.69,0.12,0.59,0.14
Home,PASS,,1,3509,140.36,3526,141.04,Player5,Player9,0.57,0.13,0.43,0.13
Home,PASS,,1,3603,144.12,3641,145.64,Player9,Player6,0.37,0.09,0.42,0.28
Home,PASS,,1,3661,146.44,3675,147,Player6,Player9,0.4,0.27,0.4,0.19
Home,PASS,,1,3675,147,3718,148.72,Player9,Player4,0.4,0.19,0.49,0.56
Home,PASS,,1,3749,149.96,3797,151.88,Player4,Player8,0.47,0.59,0.3,0.95
Home,PASS,,1,3828,153.12,3875,155,Player8,Player7,0.28,0.94,0.15,0.93
Home,PASS,,1,3934,157.36,3959,158.36,Player7,Player4,0.2,0.94,0.33,0.85
Home,PASS,,1,4030,161.2,4054,162.16,Player4,Player6,0.28,0.88,0.3,0.74
Home,PASS,,1,4075,163,4097,163.88,Player6,Player5,0.3,0.74,0.31,0.58
Home,PASS,,1,4132,165.28,4177,167.08,Player5,Player1,0.31,0.55,0.21,0.07
Home,PASS,,1,4223,168.92,4253,170.12,Player1,Player5,0.2,0.08,0.26,0.3
Home,PASS,,1,4261,170.44,4291,171.64,Player5,Player9,0.26,0.3,0.16,0.28
Home,PASS,,1,4291,171.64,4334,173.36,Player9,Player1,0.16,0.28,0.15,0.12
Home,PASS,,1,4361,174.44,4376,175.04,Player1,Player9,0.12,0.1,0.07,0.24
Home,PASS,,1,4402,176.08,4419,176.76,Player9,Player5,0.05,0.24,0.13,0.23
Home,SHOT,OFF TARGET-OUT,1,4419,176.76,4443,177.72,Player5,,0.13,0.23,-0.02,0.46
Away,RECOVERY,,1,4956,198.24,4956,198.24,Player25,,0.03,0.5,NaN,NaN
Away,PASS,,1,4956,198.24,5041,201.64,Player25,Player23,0.03,0.5,0.52,0.29
Away,CHALLENGE,AERIAL-WON,1,5041,201.64,5041,201.64,Player23,,0.52,0.29,NaN,NaN
Away,PASS,,1,5041,201.64,5102,204.08,Player23,Player18,0.52,0.29,0.38,0.19
Home,CHALLENGE,AERIAL-LOST,1,5043,201.72,5043,201.72,Player2,,0.53,0.28,NaN,NaN
Away,PASS,,1,5102,204.08,5129,205.16,Player18,Player22,0.38,0.19,0.5,0.03
Away,BALL LOST,,1,5129,205.16,5163,206.52,Player22,,0.5,0.03,0.51,0.23
Home,RECOVERY,,1,5159,206.36,5159,206.36,Player6,,0.5,0.23,NaN,NaN
Home,PASS,,1,5222,208.88,5254,210.16,Player6,Player4,0.57,0.33,0.64,0.63
Home,PASS,,1,5372,214.88,5400,216,Player4,Player10,0.49,0.8,0.28,0.64
Home,PASS,,1,5400,216,5425,217,Player10,Player7,0.28,0.64,0.29,0.78
Home,PASS,,1,5447,217.88,5482,219.28,Player7,Player8,0.26,0.78,0.24,0.92
Home,PASS,,1,5482,219.28,5524,220.96,Player8,Player4,0.24,0.92,0.31,0.86
Home,PASS,,1,5533,221.32,5561,222.44,Player4,Player8,0.31,0.86,0.23,0.99
Home,PASS,,1,5640,225.6,5658,226.32,Player8,Player9,0.23,0.84,0.27,0.69
Home,PASS,,1,5658,226.32,5687,227.48,Player9,Player4,0.27,0.69,0.31,0.87
Home,PASS,,1,5707,228.28,5745,229.8,Player4,Player7,0.32,0.88,0.2,0.99
Home,PASS,,1,5745,229.8,5763,230.52,Player7,Player9,0.2,0.99,0.19,0.86
Home,BALL LOST,,1,5763,230.52,5795,231.8,Player9,,0.19,0.86,0.22,0.8
Away,RECOVERY,,1,5800,232,5800,232,Player21,,0.21,0.8,NaN,NaN
Home,CHALLENGE,TACKLE-LOST,1,5820,232.8,5820,232.8,Player7,,0.24,0.85,NaN,NaN
Away,PASS,,1,5852,234.08,5867,234.68,Player21,Player15,0.24,0.88,0.18,0.85
Away,PASS,,1,5885,235.4,5900,236,Player15,Player19,0.18,0.85,0.27,0.73
Away,PASS,,1,5929,237.16,5959,238.36,Player19,Player16,0.23,0.73,0.09,0.67
Away,PASS,,1,5959,238.36,6011,240.44,Player16,Player17,0.09,0.67,0.12,0.38
Away,PASS,,1,6034,241.36,6079,243.16,Player17,Player18,0.14,0.33,0.29,0.07
Away,BALL OUT,,1,6099,243.96,6123,244.92,Player18,,0.33,0.04,0.4,-0.01
Home,SET PIECE,THROW IN,1,6354,254.16,6354,254.16,Player1,,NaN,NaN,NaN,NaN
Home,PASS,,1,6354,254.16,6386,255.44,Player1,Player5,0.37,0,0.42,0.06
Home,PASS,,1,6394,255.76,6419,256.76,Player5,Player9,0.41,0.08,0.36,0.27
Home,PASS,,1,6494,259.76,6517,260.68,Player9,Player1,0.4,0.11,0.32,0.03
Home,BALL LOST,INTERCEPTION,1,6602,264.08,6630,265.2,Player1,,0.21,0.15,0.13,0.44
Away,RECOVERY,INTERCEPTION,1,6630,265.2,6630,265.2,Player16,,0.14,0.47,NaN,NaN
Away,PASS,,1,6630,265.2,6697,267.88,Player16,Player23,0.14,0.47,0.42,0.28
Away,PASS,HEAD,1,6697,267.88,6725,269,Player23,Player24,0.42,0.28,0.4,0.45
Away,BALL LOST,INTERCEPTION,1,6746,269.84,6751,270.04,Player24,,0.39,0.45,0.37,0.47
Home,RECOVERY,INTERCEPTION,1,6749,269.96,6749,269.96,Player4,,0.39,0.48,NaN,NaN
Home,PASS,,1,6749,269.96,6767,270.68,Player4,Player6,0.39,0.48,0.39,0.42
Home,PASS,,1,6808,272.32,6830,273.2,Player6,Player1,0.36,0.38,0.41,0.35
Home,PASS,,1,6830,273.2,6859,274.36,Player1,Player4,0.41,0.35,0.41,0.5
Home,PASS,,1,6898,275.92,6941,277.64,Player4,Player8,0.43,0.53,0.31,0.94
Home,BALL OUT,,1,7071,282.84,7172,286.88,Player8,,0.16,0.83,-0.01,0.18
Away,RECOVERY,,1,7848,313.92,7848,313.92,Player25,,0.07,0.48,NaN,NaN
Home,CHALLENGE,AERIAL-FAULT-WON,1,7889,315.56,7889,315.56,Player6,,0.63,0.3,NaN,NaN
Away,CHALLENGE,AERIAL-FAULT-LOST,1,7890,315.6,7890,315.6,Player23,,0.63,0.27,NaN,NaN
Home,SET PIECE,FREE KICK,1,8148,325.92,8148,325.92,Player6,,NaN,NaN,NaN,NaN
Home,PASS,,1,8148,325.92,8200,328,Player6,Player4,0.65,0.32,0.69,0.67
Home,BALL LOST,INTERCEPTION,1,8315,332.6,8342,333.68,Player4,,0.52,0.81,0.29,0.87
Away,RECOVERY,INTERCEPTION,1,8344,333.76,8344,333.76,Player15,,0.34,0.88,NaN,NaN
Away,PASS,,1,8385,335.4,8412,336.48,Player15,Player20,0.35,0.83,0.38,0.62
Away,PASS,,1,8412,336.48,8438,337.52,Player20,Player21,0.38,0.62,0.43,0.72
Home,CHALLENGE,TACKLE-LOST,1,8480,339.2,8480,339.2,Player6,,0.48,0.72,NaN,NaN
Away,CHALLENGE,TACKLE-WON,1,8483,339.32,8483,339.32,Player21,,0.48,0.73,NaN,NaN
Away,PASS,,1,8483,339.32,8524,340.96,Player21,Player15,0.48,0.73,0.46,0.88
Away,PASS,,1,8524,340.96,8547,341.88,Player15,Player19,0.46,0.88,0.53,0.97
Away,BALL OUT,,1,8565,342.6,8597,343.88,Player19,,0.56,0.95,0.75,1
Home,SET PIECE,THROW IN,1,8720,348.8,8720,348.8,Player4,,NaN,NaN,NaN,NaN
Home,PASS,,1,8720,348.8,8761,350.44,Player4,Player6,0.72,1.01,0.71,0.75
Home,PASS,,1,8820,352.8,8862,354.48,Player6,Player5,0.68,0.69,0.68,0.44
Home,PASS,,1,8914,356.56,8932,357.28,Player5,Player6,0.61,0.33,0.61,0.47
Home,PASS,,1,8991,359.64,9021,360.84,Player6,Player4,0.59,0.45,0.57,0.74
Home,PASS,,1,9126,365.04,9146,365.84,Player4,Player8,0.42,0.85,0.37,0.97
Home,PASS,,1,9170,366.8,9207,368.28,Player8,Player4,0.37,0.96,0.43,0.89
Home,PASS,,1,9261,370.44,9291,371.64,Player4,Player3,0.42,0.83,0.54,0.68
Home,PASS,,1,9331,373.24,9373,374.92,Player3,Player5,0.55,0.63,0.5,0.24
Home,PASS,,1,9399,375.96,9429,377.16,Player5,Player1,0.49,0.22,0.38,0.03
Home,PASS,,1,9459,378.36,9474,378.96,Player1,Player5,0.4,0.05,0.49,0.13
Home,BALL LOST,INTERCEPTION,1,9474,378.96,9483,379.32,Player5,,0.49,0.13,0.46,0.28
Away,RECOVERY,INTERCEPTION,1,9481,379.24,9481,379.24,Player23,,0.47,0.25,NaN,NaN
Away,BALL LOST,INTERCEPTION,1,9481,379.24,9523,380.92,Player23,,0.47,0.25,0.54,0.42
Home,RECOVERY,INTERCEPTION,1,9523,380.92,9523,380.92,Player3,,0.54,0.44,NaN,NaN
Home,PASS,,1,9523,380.92,9539,381.56,Player3,Player6,0.54,0.44,0.48,0.36
Home,CHALLENGE,GROUND-WON,1,9562,382.48,9562,382.48,Player6,,0.49,0.38,NaN,NaN
Away,CHALLENGE,GROUND-LOST,1,9565,382.6,9565,382.6,Player20,,0.48,0.37,NaN,NaN
Home,PASS,,1,9579,383.16,9612,384.48,Player6,Player2,0.49,0.39,0.65,0.4
Home,PASS,,1,9612,384.48,9649,385.96,Player2,Player4,0.65,0.4,0.58,0.62
Home,PASS,,1,9688,387.52,9715,388.6,Player4,Player10,0.55,0.67,0.31,0.53
Home,PASS,,1,9760,390.4,9810,392.4,Player10,Player8,0.28,0.64,0.19,0.95
Home,BALL LOST,INTERCEPTION,1,9905,396.2,9920,396.8,Player8,,0.08,0.79,0.06,0.56
Away,CHALLENGE,GROUND-WON,1,9919,396.76,9919,396.76,Player17,,0.06,0.55,NaN,NaN
Away,RECOVERY,INTERCEPTION,1,9919,396.76,9919,396.76,Player17,,0.06,0.55,NaN,NaN
Away,BALL OUT,,1,9919,396.76,9950,398,Player17,,0.06,0.55,-0.01,0.65
Home,CHALLENGE,GROUND-LOST,1,9920,396.8,9920,396.8,Player9,,0.07,0.57,NaN,NaN
Home,SET PIECE,CORNER KICK,1,10463,418.52,10463,418.52,Player5,,NaN,NaN,NaN,NaN
Home,BALL LOST,INTERCEPTION,1,10463,418.52,10508,420.32,Player5,,0.08,1,0.04,0.58
Away,RECOVERY,INTERCEPTION,1,10506,420.24,10506,420.24,Player23,,0.03,0.57,NaN,NaN
Away,BALL OUT,HEAD,1,10506,420.24,10612,424.48,Player23,,0.03,0.57,0.27,1.01
Home,SET PIECE,THROW IN,1,10715,428.6,10715,428.6,Player4,,NaN,NaN,NaN,NaN
Home,PASS,,1,10715,428.6,10765,430.6,Player4,Player2,0.36,1,0.52,0.83
Home,PASS,,1,10886,435.44,10921,436.84,Player2,Player6,0.52,0.69,0.54,0.39
Home,PASS,,1,11008,440.32,11028,441.12,Player6,Player5,0.42,0.24,0.29,0.19
Home,BALL LOST,INTERCEPTION,1,11063,442.52,11101,444.04,Player5,,0.26,0.15,0.14,0.45
Away,RECOVERY,INTERCEPTION,1,11101,444.04,11101,444.04,Player16,,0.15,0.48,NaN,NaN
Away,BALL LOST,HEAD-INTERCEPTION,1,11158,446.32,11158,446.32,Player16,,0.17,0.5,0.36,0.31
Home,RECOVERY,INTERCEPTION,1,11159,446.36,11159,446.36,Player6,,0.35,0.34,NaN,NaN
Home,PASS,,1,11159,446.36,11199,447.96,Player6,Player4,0.35,0.34,0.44,0.56
Home,PASS,,1,11275,451,11318,452.72,Player4,Player8,0.39,0.62,0.29,0.97
Home,PASS,,1,11387,455.48,11417,456.68,Player8,Player4,0.25,0.94,0.32,0.84
Home,BALL LOST,INTERCEPTION,1,11441,457.64,11476,459.04,Player4,,0.32,0.83,0.23,0.29
Away,RECOVERY,INTERCEPTION,1,11478,459.12,11478,459.12,Player22,,0.24,0.34,NaN,NaN
Home,CHALLENGE,GROUND-LOST,1,11517,460.68,11517,460.68,Player5,,0.25,0.4,NaN,NaN
Away,CHALLENGE,GROUND-WON,1,11519,460.76,11519,460.76,Player22,,0.24,0.39,NaN,NaN
Away,CHALLENGE,TACKLE-LOST,1,11534,461.36,11534,461.36,Player22,,0.25,0.41,NaN,NaN
Away,BALL LOST,THEFT,1,11534,461.36,11534,461.36,Player22,,0.25,0.41,NaN,NaN
Home,CHALLENGE,TACKLE-WON,1,11641,465.64,11641,465.64,Player7,,0.37,0.51,NaN,NaN
Home,RECOVERY,THEFT,1,11641,465.64,11641,465.64,Player7,,0.37,0.51,NaN,NaN
Home,PASS,,1,11647,465.88,11685,467.4,Player7,Player10,0.37,0.51,0.3,0.5
Home,PASS,,1,11685,467.4,11703,468.12,Player10,Player5,0.3,0.5,0.33,0.44
Home,PASS,,1,11721,468.84,11744,469.76,Player5,Player9,0.31,0.44,0.21,0.39
Home,PASS,,1,11810,472.4,11885,475.4,Player9,Player8,0.19,0.49,0.13,0.87
Home,PASS,,1,11958,478.32,11976,479.04,Player8,Player9,0.11,0.86,0.1,0.72
Home,PASS,,1,11976,479.04,11994,479.76,Player9,Player8,0.1,0.72,0.14,0.8
Home,PASS,,1,12069,482.76,12146,485.84,Player8,Player1,0.23,0.61,0.15,0.15
Home,PASS,CROSS,1,12180,487.2,12202,488.08,Player1,Player10,0.12,0.21,0.05,0.55
Home,SHOT,ON TARGET-GOAL,1,12202,488.08,12212,488.48,Player10,,0.05,0.55,-0.01,0.53
Away,SET PIECE,KICK OFF,1,13801,552.04,13801,552.04,Player24,,NaN,NaN,NaN,NaN
Away,PASS,,1,13801,552.04,13830,553.2,Player24,Player20,0.5,0.5,0.4,0.44
Away,PASS,,1,14032,561.28,14069,562.76,Player20,Player16,0.45,0.43,0.39,0.66
Away,PASS,,1,14125,565,14172,566.88,Player16,Player15,0.44,0.76,0.6,0.98
Away,PASS,,1,14189,567.56,14234,569.36,Player15,Player19,0.62,0.99,0.75,0.86
Home,CHALLENGE,TACKLE-WON,1,14243,569.72,14243,569.72,Player6,,0.76,0.85,NaN,NaN
Home,RECOVERY,THEFT,1,14243,569.72,14243,569.72,Player6,,0.76,0.85,NaN,NaN
Away,BALL LOST,THEFT,1,14245,569.8,14245,569.8,Player19,,0.76,0.87,NaN,NaN
Home,PASS,,1,14278,571.12,14293,571.72,Player6,Player4,0.8,0.94,0.85,0.9
Home,PASS,,1,14293,571.72,14319,572.76,Player4,Player7,0.85,0.9,0.78,0.86
Home,PASS,,1,14339,573.56,14366,574.64,Player7,Player4,0.78,0.86,0.88,0.91
Home,PASS,,1,14447,577.88,14472,578.88,Player4,Player6,0.83,0.89,0.79,0.97
Away,CHALLENGE,TACKLE-WON,1,14546,581.84,14546,581.84,Player19,,0.7,0.96,NaN,NaN
Away,RECOVERY,THEFT,1,14546,581.84,14546,581.84,Player19,,0.7,0.96,NaN,NaN
Away,BALL OUT,,1,14546,581.84,14571,582.84,Player19,,0.7,0.96,0.64,1.01
Home,CHALLENGE,TACKLE-LOST,1,14550,582,14550,582,Player6,,0.7,0.98,NaN,NaN
Home,BALL LOST,THEFT,1,14550,582,14550,582,Player6,,0.7,0.98,NaN,NaN
Home,SET PIECE,THROW IN,1,14844,593.76,14844,593.76,Player4,,NaN,NaN,NaN,NaN
Home,PASS,,1,14844,593.76,14902,596.08,Player4,Player3,0.65,1.01,0.83,0.83
Home,PASS,,1,14921,596.84,14971,598.84,Player3,Player11,0.84,0.81,0.96,0.49
Home,BALL LOST,INTERCEPTION,1,15023,600.92,15096,603.84,Player11,,0.98,0.37,0.59,0.03
Away,RECOVERY,INTERCEPTION,1,15094,603.76,15094,603.76,Player18,,0.58,0.07,NaN,NaN
Away,BALL LOST,INTERCEPTION,1,15094,603.76,15149,605.96,Player18,,0.58,0.07,0.68,0.06
Home,CHALLENGE,GROUND-WON,1,15147,605.88,15147,605.88,Player5,,0.68,0.13,NaN,NaN
Home,RECOVERY,INTERCEPTION,1,15147,605.88,15147,605.88,Player5,,0.68,0.13,NaN,NaN
Away,CHALLENGE,GROUND-LOST,1,15149,605.96,15149,605.96,Player22,,0.68,0.13,NaN,NaN
Home,PASS,,1,15153,606.12,15190,607.6,Player5,Player2,0.68,0.13,0.75,0.11
Home,PASS,,1,15194,607.76,15212,608.48,Player2,Player1,0.75,0.1,0.69,0.02
Home,BALL OUT,,1,15212,608.48,15254,610.16,Player1,,0.69,0.02,0.73,-0.01
Away,SET PIECE,THROW IN,1,15449,617.96,15449,617.96,Player18,,NaN,NaN,NaN,NaN
Away,PASS,,1,15449,617.96,15486,619.44,Player18,Player17,0.7,0,0.55,0.11
Away,PASS,,1,15530,621.2,15591,623.64,Player17,Player15,0.53,0.19,0.54,0.76
Away,PASS,,1,15608,624.32,15678,627.12,Player15,Player16,0.54,0.77,0.39,0.6
Away,PASS,,1,15678,627.12,15737,629.48,Player16,Player17,0.39,0.6,0.4,0.28
Away,PASS,,1,15833,633.32,15898,635.92,Player17,Player19,0.48,0.22,0.66,0.83
Home,CHALLENGE,AERIAL-LOST,1,15892,635.68,15892,635.68,Player4,,0.67,0.82,NaN,NaN
Away,CHALLENGE,AERIAL-WON,1,15898,635.92,15898,635.92,Player19,,0.66,0.83,NaN,NaN
Away,BALL LOST,HEAD-INTERCEPTION,1,15898,635.92,15942,637.68,Player19,,0.66,0.83,0.75,0.7
Home,RECOVERY,INTERCEPTION,1,15938,637.52,15938,637.52,Player3,,0.75,0.69,NaN,NaN
Home,PASS,HEAD,1,15938,637.52,15967,638.68,Player3,Player7,0.75,0.69,0.67,0.65
Home,PASS,,1,15967,638.68,16000,640,Player7,Player4,0.67,0.65,0.69,0.87
Home,PASS,,1,16000,640,16024,640.96,Player4,Player7,0.69,0.87,0.67,0.72
Away,RECOVERY,THEFT,1,16036,641.44,16036,641.44,Player23,,0.68,0.76,NaN,NaN
Away,PASS,,1,16036,641.44,16059,642.36,Player23,Player21,0.68,0.76,0.59,0.74
Home,BALL LOST,THEFT,1,16038,641.52,16038,641.52,Player7,,0.67,0.73,NaN,NaN
Away,PASS,,1,16112,644.48,16149,645.96,Player21,Player18,0.61,0.64,0.63,0.2
Away,BALL LOST,INTERCEPTION,1,16200,648,16205,648.2,Player18,,0.74,0.18,0.77,0.2
Home,RECOVERY,INTERCEPTION,1,16203,648.12,16203,648.12,Player5,,0.77,0.23,NaN,NaN
Home,BALL LOST,INTERCEPTION,1,16203,648.12,16261,650.44,Player5,,0.77,0.23,0.63,0.34
Away,RECOVERY,INTERCEPTION,1,16254,650.16,16254,650.16,Player20,,0.66,0.34,NaN,NaN
Away,BALL LOST,INTERCEPTION,1,16254,650.16,16265,650.6,Player20,,0.66,0.34,0.61,0.34
Home,RECOVERY,INTERCEPTION,1,16267,650.68,16267,650.68,Player9,,0.62,0.35,NaN,NaN
Home,PASS,,1,16388,655.52,16435,657.4,Player9,Player10,0.37,0.49,0.18,0.33
Home,SHOT,ON TARGET-SAVED,1,16484,659.36,16499,659.96,Player10,,0.11,0.33,0.04,0.49
Away,RECOVERY,SAVED,1,16499,659.96,16499,659.96,Player25,,0.04,0.48,NaN,NaN
Away,PASS,,1,16567,662.68,16632,665.28,Player25,Player15,0.06,0.5,0.17,0.75
Away,PASS,,1,16643,665.72,16683,667.32,Player15,Player21,0.19,0.77,0.25,0.7
Away,PASS,,1,16692,667.68,16742,669.68,Player21,Player15,0.25,0.71,0.3,0.9
Away,PASS,,1,16762,670.48,16792,671.68,Player15,Player16,0.3,0.9,0.21,0.74
Away,PASS,,1,16832,673.28,16870,674.8,Player16,Player20,0.24,0.71,0.3,0.45
Away,PASS,,1,16970,678.8,17015,680.6,Player20,Player22,0.47,0.3,0.73,0.07
Away,PASS,,1,17080,683.2,17100,684,Player22,Player24,0.84,0.17,0.83,0.36
Home,CHALLENGE,TACKLE-WON,1,17109,684.36,17109,684.36,Player7,,0.83,0.39,NaN,NaN
Home,RECOVERY,THEFT,1,17109,684.36,17109,684.36,Player7,,0.83,0.39,NaN,NaN
Home,BALL LOST,INTERCEPTION,1,17109,684.36,17156,686.24,Player7,,0.83,0.39,0.79,0.35
Away,CHALLENGE,TACKLE-LOST,1,17113,684.52,17113,684.52,Player24,,0.84,0.37,NaN,NaN
Away,BALL LOST,THEFT,1,17113,684.52,17113,684.52,Player24,,0.84,0.37,NaN,NaN
Away,RECOVERY,INTERCEPTION,1,17157,686.28,17157,686.28,Player20,,0.78,0.37,NaN,NaN
Away,PASS,,1,17157,686.28,17193,687.72,Player20,Player22,0.78,0.37,0.86,0.17
Away,PASS,,1,17220,688.8,17242,689.68,Player22,Player18,0.85,0.17,0.75,0.2
Away,PASS,,1,17272,690.88,17302,692.08,Player18,Player22,0.75,0.2,0.84,0.09
Away,PASS,,1,17330,693.2,17355,694.2,Player22,Player18,0.84,0.12,0.82,0.27
Away,PASS,,1,17355,694.2,17372,694.88,Player18,Player22,0.82,0.27,0.8,0.2
